ID,名前,スピード
Idle,Idle,0.5
PowerIdle,Idle_B,0.5
SpeedIdle,Idle_Combat,0.5
Spawn,Spawn_Ground_Skeletons,1
Walk,Walking_B,0.8
PowerWalk,Walking_A,0.6
SpeedWalk,Walking_D_Skeletons,1
NormalDash,Running_A,0.8
PowerDash,Running_B,0.8
SpeedDash,Running_C,0.8
Jump,Jump_Start,0.5
Jumping,Jump_Idle,0.5
AttackCharge,Blocking,1
NormalAttackX,1H_Melee_Attack_Slice_Diagonal,0.8
NormalAttackY,2H_Melee_Attack_Spinning,0.7
PowerAttackX,2H_Melee_Attack_Slice,0.5
PowerAttackY,2H_Melee_Attack_Spin,0.7
SpeedAttackX,Dualwield_Melee_Attack_Chop,0.9
SpeedAttackY,Dualwield_Melee_Attack_Slice,0.8
ShotAttackX,Throw,0.7
ShotAttackY,1H_Melee_Attack_Stab,0.6
Hit,Hit_A,0.4
Down,Death_B,0.8
UseFace,Use_Item,0.8
